"pid7","pid_partylean","group_colprofs","imp_schteach","votereg","education_importance","feeling_college_professors","party"
"Strong Democrat","inapplicable, legitimate skip","62","Very important","Yes",4,62,"Democrat"
"Lean Republican","Closer to the Republican Party","52","Extremely important","Yes",5,52,"Republican"
"Strong Republican","inapplicable, legitimate skip","58","Very important","Yes",4,58,"Republican"
"Lean Republican","inapplicable, legitimate skip","8","Extremely important","Yes",5,8,"Republican"
"Strong Republican","inapplicable, legitimate skip","1","Very important","Yes",4,1,"Republican"
"Strong Democrat","inapplicable, legitimate skip","75","Extremely important","Yes",5,75,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","90","Extremely important","Yes",5,90,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","40","Extremely important","Yes",5,40,"Republican"
"Lean Democrat","Closer to the Democratic Party","53","Moderately important","Yes",3,53,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","61","Very important","Yes",4,61,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","20","Extremely important","Yes",5,20,"Republican"
"Lean Democrat","Closer to the Democratic Party","69","Slightly important","Yes",2,69,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","90","Slightly important","Yes",2,90,"Republican"
"Independent","Closer to the Republican Party","52","Extremely important","Yes",5,52,"Republican"
"Strong Democrat","inapplicable, legitimate skip","79","Very important","Yes",4,79,"Democrat"
"Lean Democrat","Closer to the Democratic Party","72","Slightly important","Yes",2,72,"Democrat"
"Strong Republican","inapplicable, legitimate skip","54","Extremely important","Yes",5,54,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","80","Very important","Yes",4,80,"Democrat"
"Lean Democrat","inapplicable, legitimate skip","62","Extremely important","Yes",5,62,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","75","Moderately important","Yes",3,75,"Democrat"
"Lean Democrat","Closer to the Democratic Party","not asked","Extremely important","Yes",5,NA,"Democrat"
"Lean Republican","Closer to the Republican Party","1","Very important","Yes",4,1,"Republican"
"Strong Democrat","inapplicable, legitimate skip","50","Slightly important","Yes",2,50,"Democrat"
"Lean Republican","inapplicable, legitimate skip","3","Very important","Yes",4,3,"Republican"
"Strong Republican","inapplicable, legitimate skip","6","Extremely important","Yes",5,6,"Republican"
"Lean Democrat","Closer to the Democratic Party","15","Moderately important","Yes",3,15,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","50","Moderately important","Yes",3,50,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","60","Very important","Yes",4,60,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","73","Extremely important","Yes",5,73,"Democrat"
"Strong Republican","inapplicable, legitimate skip","54","Extremely important","Yes",5,54,"Republican"
"Lean Republican","inapplicable, legitimate skip","50","Extremely important","Yes",5,50,"Republican"
"Strong Democrat","inapplicable, legitimate skip","0","Extremely important","Yes",5,0,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","77","Extremely important","Yes",5,77,"Republican"
"Strong Democrat","inapplicable, legitimate skip","85","Moderately important","Yes",3,85,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","77","Very important","Yes",4,77,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","100","Extremely important","Yes",5,100,"Democrat"
"Lean Democrat","Closer to the Democratic Party","85","Moderately important","Yes",3,85,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","66","Slightly important","Yes",2,66,"Democrat"
"Strong Republican","inapplicable, legitimate skip","15","Extremely important","Yes",5,15,"Republican"
"Strong Republican","inapplicable, legitimate skip","0","Very important","Yes",4,0,"Republican"
"Strong Republican","inapplicable, legitimate skip","0","Extremely important","Yes",5,0,"Republican"
"Strong Republican","inapplicable, legitimate skip","40","Extremely important","Yes",5,40,"Republican"
"Strong Republican","inapplicable, legitimate skip","7","Extremely important","Yes",5,7,"Republican"
"Strong Democrat","inapplicable, legitimate skip","100","Very important","Yes",4,100,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","93","Extremely important","Yes",5,93,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","50","Moderately important","Yes",3,50,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","93","Very important","Yes",4,93,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","85","Moderately important","Yes",3,85,"Democrat"
"Strong Republican","inapplicable, legitimate skip","30","Extremely important","Yes",5,30,"Republican"
"Lean Democrat","Closer to the Democratic Party","50","Extremely important","Yes",5,50,"Democrat"
"Lean Democrat","Closer to the Democratic Party","95","Very important","Yes",4,95,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","50","Slightly important","Yes",2,50,"Democrat"
"Strong Republican","inapplicable, legitimate skip","51","Moderately important","No",3,51,"Republican"
"Strong Democrat","inapplicable, legitimate skip","50","Very important","Yes",4,50,"Democrat"
"Lean Democrat","Closer to the Democratic Party","94","Extremely important","Yes",5,94,"Democrat"
"Strong Republican","inapplicable, legitimate skip","51","Extremely important","Yes",5,51,"Republican"
"Lean Republican","Closer to the Republican Party","18","Very important","Yes",4,18,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","27","Moderately important","Yes",3,27,"Democrat"
"Lean Democrat","Closer to the Democratic Party","50","Moderately important","Yes",3,50,"Democrat"
"Strong Republican","inapplicable, legitimate skip","55","Extremely important","Yes",5,55,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","85","Very important","Yes",4,85,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","55","Very important","Yes",4,55,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","87","Extremely important","Yes",5,87,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","No Answer","Extremely important","Yes",5,NA,"Democrat"
"Not very strong Democrat","inapplicable, legitimate skip","55","Extremely important","Yes",5,55,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","not asked","Extremely important","Yes",5,NA,"Democrat"
"Lean Democrat","inapplicable, legitimate skip","95","Very important","Yes",4,95,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","51","Slightly important","Yes",2,51,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","86","Very important","Yes",4,86,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","100","Not at all important","Yes",1,100,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","78","Very important","Yes",4,78,"Democrat"
"Lean Democrat","Closer to the Democratic Party","90","Very important","Yes",4,90,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","49","Extremely important","Yes",5,49,"Democrat"
"Lean Democrat","Closer to the Democratic Party","60","Extremely important","Yes",5,60,"Democrat"
"Strong Republican","inapplicable, legitimate skip","49","Extremely important","Yes",5,49,"Republican"
"Strong Democrat","inapplicable, legitimate skip","85","Not at all important","Yes",1,85,"Democrat"
"Lean Democrat","Closer to the Democratic Party","70","Slightly important","Yes",2,70,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","70","Moderately important","Yes",3,70,"Republican"
"Strong Republican","inapplicable, legitimate skip","16","Extremely important","Yes",5,16,"Republican"
"Lean Republican","Closer to the Republican Party","70","Very important","Yes",4,70,"Republican"
"Strong Democrat","inapplicable, legitimate skip","77","Extremely important","Yes",5,77,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","82","Very important","Yes",4,82,"Democrat"
"Strong Republican","inapplicable, legitimate skip","5","Very important","Yes",4,5,"Republican"
"Strong Republican","inapplicable, legitimate skip","74","Extremely important","Yes",5,74,"Republican"
"Strong Republican","inapplicable, legitimate skip","85","Extremely important","Yes",5,85,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","not asked","Extremely important","Yes",5,NA,"Republican"
"Lean Republican","Closer to the Republican Party","70","Very important","Yes",4,70,"Republican"
"Strong Republican","inapplicable, legitimate skip","12","Extremely important","Yes",5,12,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","14","Extremely important","Yes",5,14,"Republican"
"Strong Republican","inapplicable, legitimate skip","3","Extremely important","Yes",5,3,"Republican"
"Strong Republican","inapplicable, legitimate skip","27","Extremely important","Yes",5,27,"Republican"
"Lean Republican","Closer to the Republican Party","60","Moderately important","Yes",3,60,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","86","Moderately important","Yes",3,86,"Democrat"
"Strong Republican","inapplicable, legitimate skip","50","Extremely important","Yes",5,50,"Republican"
"Lean Republican","Closer to the Republican Party","47","Extremely important","Yes",5,47,"Republican"
"Lean Democrat","inapplicable, legitimate skip","100","Extremely important","Yes",5,100,"Democrat"
"Strong Republican","inapplicable, legitimate skip","90","Very important","Yes",4,90,"Republican"
"Strong Republican","inapplicable, legitimate skip","33","Extremely important","Yes",5,33,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","50","Very important","Yes",4,50,"Republican"
"Strong Republican","inapplicable, legitimate skip","60","Extremely important","Yes",5,60,"Republican"
"Not very strong Republican","inapplicable, legitimate skip","31","Extremely important","Yes",5,31,"Republican"
"Strong Republican","inapplicable, legitimate skip","15","Extremely important","Yes",5,15,"Republican"
"Lean Republican","Neither","40","Not at all important","No",1,40,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","59","Extremely important","Yes",5,59,"Democrat"
"Strong Republican","inapplicable, legitimate skip","51","Extremely important","Yes",5,51,"Republican"
"Strong Republican","inapplicable, legitimate skip","71","Very important","Yes",4,71,"Republican"
"Strong Democrat","inapplicable, legitimate skip","87","Moderately important","Yes",3,87,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","85","Slightly important","Yes",2,85,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","65","Extremely important","Yes",5,65,"Democrat"
"Strong Republican","inapplicable, legitimate skip","15","Extremely important","Yes",5,15,"Republican"
"Strong Republican","inapplicable, legitimate skip","21","Very important","Yes",4,21,"Republican"
"Strong Democrat","inapplicable, legitimate skip","56","Extremely important","Yes",5,56,"Democrat"
"Not very strong Republican","inapplicable, legitimate skip","48","Moderately important","Yes",3,48,"Republican"
"Not very strong Democrat","inapplicable, legitimate skip","63","Extremely important","No",5,63,"Democrat"
"Lean Republican","Closer to the Republican Party","30","Extremely important","Yes",5,30,"Republican"
"Strong Democrat","inapplicable, legitimate skip","100","Extremely important","Yes",5,100,"Democrat"
"Strong Republican","inapplicable, legitimate skip","52","Extremely important","Yes",5,52,"Republican"
"Lean Democrat","Closer to the Democratic Party","79","Very important","Yes",4,79,"Democrat"
"Strong Republican","inapplicable, legitimate skip","30","Extremely important","Yes",5,30,"Republican"
"Strong Republican","inapplicable, legitimate skip","0","Extremely important","Yes",5,0,"Republican"
"Strong Democrat","inapplicable, legitimate skip","100","Very important","Yes",4,100,"Democrat"
"Lean Republican","Closer to the Republican Party","50","Very important","Yes",4,50,"Republican"
"Strong Democrat","inapplicable, legitimate skip","60","Very important","Yes",4,60,"Democrat"
"Strong Democrat","inapplicable, legitimate skip","91","Very important","Yes",4,91,"Democrat"
